well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E05,E,05,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,1014440,24013274.0,17174746.0,17.3395938873291,6838533.0,1104,0.001088285162255936,258.8167915067811,18.0,2.5114664212335436,2.5114664212335436,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,E,05,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,917504,21788924.0,16170830.0,18.048748016357422,5618103.0,957,0.0010430472237711846,228.11864402077416,17.0,2.8783434550767617,2.8783434550767617,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E05,E,05,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0032.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,964173,35468608.0,26580328.0,28.23288345336914,8888270.0,1030,0.0010682730173930733,359.9648930966275,17.0,2.9904951132219217,2.9904951132219217,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,946069,22282200.0,15786928.0,17.095781326293945,6495278.0,1005,0.001062290382624246,264.7161298685406,19.0,2.430523835930898,2.430523835930898,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,905846,20453804.0,15207006.0,17.19267463684082,5246796.0,875,0.0009659478542699687,212.82620513916015,19.0,2.8983413877720996,2.8983413877720996,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,1004473,31500380.0,22667558.0,23.116079330444336,8832826.0,975,0.0009706582456661646,334.3407321558243,19.0,2.5662860334843494,2.5662860334843494,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,696734,13147948.0,9962782.0,14.651947021484375,3185166.0,756,0.0010850625920350017,164.29626277136424,19.0,3.127869002744872,3.127869002744872,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,464791,8210583.0,6295593.0,13.873086929321289,1914990.0,411,0.0008842684131128093,135.69559574359235,18.0,3.2875330941658767,3.2875330941658767,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E07,E,07,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0034.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,519876,11324318.0,8310786.0,16.376609802246094,3013532.0,394,0.000757873031259843,195.91878604404818,19.0,2.7578223825057253,2.7578223825057253,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E08,E,08,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0035.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,579812,13952551.0,9986694.0,17.642621994018555,3965857.0,639,0.001102081364302391,259.4630651817262,18.0,2.518167952096478,2.518167952096478,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E08,E,08,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0035.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,541248,14403051.0,10851219.0,20.530010223388672,3551832.0,567,0.0010475789286961844,247.53328788259464,17.0,3.0551048022533007,3.0551048022533007,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
