well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
C05,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,05,"{'y_start': 258, 'y_stop': 2868, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,12,488nm Binned,0.0,1150.0999755859375,0.0074256214274672746,0.008005935526781409,0.5989888509114584,0.9999999999999849,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2868, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,16,488nm Binned,257.29998779296875,0.0,0.01379682901897254,0.006422062415039554,0.9102859177848784,0.9999999999999738,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2868, 'x_start': 1151, 'x_stop': 2868}"
C06,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,06,"{'y_start': 0, 'y_stop': 2180, 'x_start': 0, 'x_stop': 1826}"
C06,PLD3_only_no_mCherry,12,488nm Binned,-687.2999877929688,0.0,0.0035694877670078002,0.018067271320297902,0.7603556527918519,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 0, 'y_stop': 2180, 'x_start': 0, 'x_stop': 1826}"
C06,PLD3_only_no_mCherry,16,488nm Binned,0.0,-1042.0,0.009018492119120005,-0.0036957384102740795,0.6366806136680614,0.9999999999999898,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 0, 'y_stop': 2180, 'x_start': 0, 'x_stop': 1826}"
C07,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,07,"{'y_start': 2, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,12,488nm Binned,1.899999976158142,0.0,0.06232253024064589,0.06852978996857631,0.9993375174420648,0.9999999999999996,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 2, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,16,488nm Binned,1.0,-921.0999755859375,0.06630174267702352,0.02999945481270376,0.6785987409275336,0.9999999999999998,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 2, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1946}"
C08,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,08,"{'y_start': 190, 'y_stop': 2660, 'x_start': 0, 'x_stop': 2868}"
C08,PLD3_only_no_mCherry,12,488nm Binned,-207.1999969482422,0.0,-0.003622078037335725,0.01155769013656257,0.927754533839525,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 190, 'y_stop': 2660, 'x_start': 0, 'x_stop': 2868}"
C08,PLD3_only_no_mCherry,16,488nm Binned,190.0,0.0,0.014867340685386145,0.0020177523368899272,0.9337517433751743,0.9999999999999729,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 190, 'y_stop': 2660, 'x_start': 0, 'x_stop': 2868}"
C09,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 0, 'x_stop': 2868}"
C09,PLD3_only_no_mCherry,12,488nm Binned,658.5999755859375,0.0,0.0057267572216073166,-0.005161591809215605,0.7703626305488362,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 0, 'x_stop': 2868}"
C09,PLD3_only_no_mCherry,16,488nm Binned,-441.20001220703125,0.0,0.0135365327921724,0.0030036358400649544,0.8461645703601705,0.999999999999987,True,phase_cross_correlation_on_stable_channel,C,09,"{'y_start': 659, 'y_stop': 2426, 'x_start': 0, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,10,"{'y_start': 0, 'y_stop': 2149, 'x_start': 0, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,12,488nm Binned,-147.60000610351562,0.0,0.008602001914736535,-0.00016184474411892464,0.948535562725413,0.9999999999999803,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 0, 'y_stop': 2149, 'x_start': 0, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,16,488nm Binned,-718.9000244140625,0.0,0.015707052191459757,0.018965410252646808,0.7493375089211777,0.9999999999999466,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 0, 'y_stop': 2149, 'x_start': 0, 'x_stop': 2868}"
C11,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,11,"{'y_start': 151, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
C11,PLD3_only_no_mCherry,12,488nm Binned,151.0,0.0,0.002839391306814137,0.004672681609871975,0.947350069735007,0.9999999999999911,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 151, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
C11,PLD3_only_no_mCherry,16,488nm Binned,141.6999969482422,0.0,0.0036118010391276434,0.0041655731751219695,0.9505927486233465,0.9999999999999837,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 151, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
C12,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 0, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,12,488nm Binned,-585.4000244140625,0.0,0.012174772738107213,0.005295423714496084,0.7958856260759893,0.9999999999999933,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 0, 'x_stop': 1862}"
C12,PLD3_only_no_mCherry,16,488nm Binned,0.0,-1005.5,0.012688266656817956,-0.011740539747039482,0.6494072524407253,0.9999999999999886,True,phase_cross_correlation_on_stable_channel,C,12,"{'y_start': 0, 'y_stop': 2282, 'x_start': 0, 'x_stop': 1862}"
C13,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,13,"{'y_start': 0, 'y_stop': 1963, 'x_start': 1082, 'x_stop': 2868}"
C13,PLD3_only_no_mCherry,12,488nm Binned,-904.7999877929688,0.0,-0.0011993063325937468,-0.0029965375853674334,0.6845188327081699,0.999999999999994,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1963, 'x_start': 1082, 'x_stop': 2868}"
C13,PLD3_only_no_mCherry,16,488nm Binned,0.0,1081.0999755859375,0.008202631409878147,0.004042418794240563,0.6230474283173161,0.9999999999999903,True,phase_cross_correlation_on_stable_channel,C,13,"{'y_start': 0, 'y_stop': 1963, 'x_start': 1082, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,14,"{'y_start': 235, 'y_stop': 2846, 'x_start': 0, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,12,488nm Binned,-21.600000381469727,0.0,0.007667624830970004,0.012630345722115145,0.992468619113853,0.9999999999999776,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 235, 'y_stop': 2846, 'x_start': 0, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,16,488nm Binned,234.39999389648438,0.0,0.015961503013634123,9.941649356004605e-05,0.9182705739552007,0.9999999999999607,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 235, 'y_stop': 2846, 'x_start': 0, 'x_stop': 2868}"
C15,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,15,"{'y_start': 0, 'y_stop': 2787, 'x_start': 0, 'x_stop': 1972}"
C15,PLD3_only_no_mCherry,12,488nm Binned,-80.4000015258789,0.0,0.0013119988270964382,0.009167706251659248,0.9719665266646168,0.99999999999999,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 0, 'y_stop': 2787, 'x_start': 0, 'x_stop': 1972}"
C15,PLD3_only_no_mCherry,16,488nm Binned,0.0,-896.0,0.0045892031128370895,0.0025023691935683132,0.6875871687587168,0.9999999999999858,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 0, 'y_stop': 2787, 'x_start': 0, 'x_stop': 1972}"
C16,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1882}"
C16,PLD3_only_no_mCherry,12,488nm Binned,0.0,-985.5999755859375,-8.302075414688077e-05,-0.012232841895146932,0.6563458941471627,0.999999999999984,True,phase_cross_correlation_on_stable_channel,C,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1882}"
C16,PLD3_only_no_mCherry,16,488nm Binned,0.0,-673.5999755859375,0.007293970470825891,-0.007012791192471786,0.7651325050258238,0.999999999999987,True,phase_cross_correlation_on_stable_channel,C,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1882}"
C17,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,17,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1188, 'x_stop': 2868}"
C17,PLD3_only_no_mCherry,12,488nm Binned,0.0,703.2999877929688,0.004786857915608997,0.00533556496676274,0.7547768522339718,0.9999999999999799,True,phase_cross_correlation_on_stable_channel,C,17,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1188, 'x_stop': 2868}"
C17,PLD3_only_no_mCherry,16,488nm Binned,0.0,1187.5999755859375,-0.00015345968606150106,0.0050774681663568536,0.5859135371039269,0.9999999999999876,True,phase_cross_correlation_on_stable_channel,C,17,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1188, 'x_stop': 2868}"
C18,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1219, 'x_stop': 2837}"
C18,PLD3_only_no_mCherry,12,488nm Binned,0.0,1218.9000244140625,0.0015401796983765266,0.01098234165811006,0.5749999914874259,0.999999999999986,True,phase_cross_correlation_on_stable_channel,C,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1219, 'x_stop': 2837}"
C18,PLD3_only_no_mCherry,16,488nm Binned,0.0,-30.700000762939453,0.004664853041214308,0.006117144646353174,0.9892956761635497,0.9999999999999922,True,phase_cross_correlation_on_stable_channel,C,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1219, 'x_stop': 2837}"
C19,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,19,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1193, 'x_stop': 2868}"
C19,PLD3_only_no_mCherry,12,488nm Binned,0.0,479.0,0.0019704592377606384,-0.0039372417824448105,0.8329846582984658,0.9999999999999915,True,phase_cross_correlation_on_stable_channel,C,19,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1193, 'x_stop': 2868}"
C19,PLD3_only_no_mCherry,16,488nm Binned,0.0,1192.5,0.0006455835761419899,-0.002521706314410186,0.5842050209205021,0.9999999999999803,True,phase_cross_correlation_on_stable_channel,C,19,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1193, 'x_stop': 2868}"
C20,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,20,"{'y_start': 257, 'y_stop': 2162, 'x_start': 0, 'x_stop': 2868}"
