summary_type,condition,day,wells,observations,qc_pass,qc_total,mean_overlap_fraction,mean_diffuse_to_punctate_ratio,median_diffuse_to_punctate_ratio,mean_puncta_count
registration_qc,PLD3_TMEM106B_mCherry_primary,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,12,48,48,48.0,48.0,0.8156373488146557,,,
registration_qc,PLD3_TMEM106B_mCherry_primary,16,48,48,48.0,48.0,0.8190826940536845,,,
registration_qc,PLD3_TMEM106B_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_TMEM106B_no_mCherry,12,48,48,48.0,48.0,0.8245321936976392,,,
registration_qc,PLD3_TMEM106B_no_mCherry,16,48,48,48.0,48.0,0.7888111641158266,,,
registration_qc,PLD3_mCherry_reporter_control,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_mCherry_reporter_control,12,48,48,48.0,48.0,0.8245895803695058,,,
registration_qc,PLD3_mCherry_reporter_control,16,48,48,48.0,48.0,0.8327137088565036,,,
registration_qc,PLD3_only_no_mCherry,8,48,48,48.0,48.0,1.0,,,
registration_qc,PLD3_only_no_mCherry,12,48,48,48.0,48.0,0.7833013715522744,,,
registration_qc,PLD3_only_no_mCherry,16,48,48,48.0,48.0,0.7718912916378748,,,
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,8,48,48,,,,3.2645389977239128,3.247826313091984,783.6041666666666
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,12,48,48,,,,4.425564813113783,4.384153465163893,738.7083333333334
mcherry_valid_measurement,PLD3_TMEM106B_mCherry_primary,16,48,48,,,,4.5303527138604265,4.583079197858369,721.75
mcherry_valid_measurement,PLD3_mCherry_reporter_control,8,48,48,,,,2.548845848614413,2.52121775516021,789.0208333333334
mcherry_valid_measurement,PLD3_mCherry_reporter_control,12,48,48,,,,2.893566836252088,2.88936153176194,696.5
mcherry_valid_measurement,PLD3_mCherry_reporter_control,16,48,48,,,,2.7839456748611937,2.7807724012574964,758.2083333333334
