path,relative_path,filename,extension,file_size_bytes,modified_time,inferred_well,inferred_day_timepoint,inferred_channel,inferred_site_fov_tile,acquisition_folder,parse_confidence,parse_warnings,metadata_status,axis_order,sizes_json,channel_names
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2","260216_Day8_iNeurons_WellC05_Channel405nm Binned,561nm Binned,488nm Binned_Seq0000.nd2",.nd2,49692672,2026-02-16T08:45:14,C05,8,405nm Binned|561nm Binned|488nm Binned,Seq0000,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2","260216_Day8_iNeurons_WellC06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0001.nd2",.nd2,49692672,2026-02-16T08:45:24,C06,8,405nm Binned|561nm Binned|488nm Binned,Seq0001,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0002.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0002.nd2","260216_Day8_iNeurons_WellC07_Channel405nm Binned,561nm Binned,488nm Binned_Seq0002.nd2",.nd2,49692672,2026-02-16T08:45:36,C07,8,405nm Binned|561nm Binned|488nm Binned,Seq0002,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0003.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0003.nd2","260216_Day8_iNeurons_WellC08_Channel405nm Binned,561nm Binned,488nm Binned_Seq0003.nd2",.nd2,49692672,2026-02-16T08:45:48,C08,8,405nm Binned|561nm Binned|488nm Binned,Seq0003,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0004.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0004.nd2","260216_Day8_iNeurons_WellC09_Channel405nm Binned,561nm Binned,488nm Binned_Seq0004.nd2",.nd2,49692672,2026-02-16T08:46:00,C09,8,405nm Binned|561nm Binned|488nm Binned,Seq0004,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0005.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0005.nd2","260216_Day8_iNeurons_WellC10_Channel405nm Binned,561nm Binned,488nm Binned_Seq0005.nd2",.nd2,49692672,2026-02-16T08:46:10,C10,8,405nm Binned|561nm Binned|488nm Binned,Seq0005,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0006.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0006.nd2","260216_Day8_iNeurons_WellC11_Channel405nm Binned,561nm Binned,488nm Binned_Seq0006.nd2",.nd2,49692672,2026-02-16T08:46:22,C11,8,405nm Binned|561nm Binned|488nm Binned,Seq0006,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0007.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0007.nd2","260216_Day8_iNeurons_WellC12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0007.nd2",.nd2,49692672,2026-02-16T08:46:34,C12,8,405nm Binned|561nm Binned|488nm Binned,Seq0007,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC13_Channel405nm Binned,561nm Binned,488nm Binned_Seq0008.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC13_Channel405nm Binned,561nm Binned,488nm Binned_Seq0008.nd2","260216_Day8_iNeurons_WellC13_Channel405nm Binned,561nm Binned,488nm Binned_Seq0008.nd2",.nd2,49692672,2026-02-16T08:46:46,C13,8,405nm Binned|561nm Binned|488nm Binned,Seq0008,20260216_084435_959,high,,not_requested,,,
"/Users/makennarodriguez/Documents/260213_Feb16recopy_HYdiff_landingpadlines_survival_384well1/20260216_084435_959/260216_Day8_iNeurons_WellC14_Channel405nm Binned,561nm Binned,488nm Binned_Seq0009.nd2","20260216_084435_959/260216_Day8_iNeurons_WellC14_Channel405nm Binned,561nm Binned,488nm Binned_Seq0009.nd2","260216_Day8_iNeurons_WellC14_Channel405nm Binned,561nm Binned,488nm Binned_Seq0009.nd2",.nd2,49692672,2026-02-16T08:46:58,C14,8,405nm Binned|561nm Binned|488nm Binned,Seq0009,20260216_084435_959,high,,not_requested,,,
