well,condition,day,shift_disagreement_px
F05,PLD3_TMEM106B_mCherry_primary,8,0.0
F05,PLD3_TMEM106B_mCherry_primary,12,828.8505836397776
F05,PLD3_TMEM106B_mCherry_primary,16,465.2681914767009
F05,PLD3_TMEM106B_mCherry_primary,20,375.9330259501019
F05,PLD3_TMEM106B_mCherry_primary,25,1097.2
F05,PLD3_TMEM106B_mCherry_primary,29,162.4896612095674
F05,PLD3_TMEM106B_mCherry_primary,32,794.8737321109561
F05,PLD3_TMEM106B_mCherry_primary,36,1261.2679968983593
F05,PLD3_TMEM106B_mCherry_primary,39,2750.1540120509612
C05,unknown,8,0.0
C05,unknown,12,1282.305439433211
C05,unknown,16,282.9011134654652
C05,unknown,20,168.9251017463065
C05,unknown,25,368.3294856510947
C05,unknown,29,907.8288440008943
C05,unknown,32,411.34807645107566
C05,unknown,36,407.16951015516867
C05,unknown,39,1124.7313279179166
