well,condition,day,method,t,dy,dx,post_corr,overlap
F05,PLD3_TMEM106B_mCherry_primary,8,A_cli,0,0.0,0.0,1.0,1.0
F05,PLD3_TMEM106B_mCherry_primary,12,A_cli,1,-863.3,0.0,-0.0023818255255626075,0.6989888423988843
F05,PLD3_TMEM106B_mCherry_primary,16,A_cli,2,0.0,435.3,0.004694775376043538,0.8482217573221756
F05,PLD3_TMEM106B_mCherry_primary,20,A_cli,3,0.0,-491.8,-0.005161250574292727,0.8285216178521617
F05,PLD3_TMEM106B_mCherry_primary,25,A_cli,4,-1020.2,0.0,-0.00010978931701095521,0.6442817294281729
F05,PLD3_TMEM106B_mCherry_primary,29,A_cli,5,-103.7,0.0,0.002131549096746388,0.96384239888424
F05,PLD3_TMEM106B_mCherry_primary,32,A_cli,6,-273.5,0.0,0.009866262918525798,0.9046373779637378
F05,PLD3_TMEM106B_mCherry_primary,36,A_cli,7,0.0,-993.6,0.005189203866617594,0.6535564853556486
F05,PLD3_TMEM106B_mCherry_primary,39,A_cli,8,1303.7,0.0,-0.002653437824404881,0.5454323570432357
F05,PLD3_TMEM106B_mCherry_primary,8,B_pilot,0,0.0,0.0,1.0,1.0
F05,PLD3_TMEM106B_mCherry_primary,12,B_pilot,1,-41.0,-104.0,0.18054032000398315,0.9499605126738755
F05,PLD3_TMEM106B_mCherry_primary,16,B_pilot,2,-30.0,-29.0,0.15174673516629578,0.979533942566365
F05,PLD3_TMEM106B_mCherry_primary,20,B_pilot,3,-10.0,-116.0,0.11630766843223789,0.9562079717714248
F05,PLD3_TMEM106B_mCherry_primary,25,B_pilot,4,77.0,0.0,0.07957409289106555,0.9731520223152023
F05,PLD3_TMEM106B_mCherry_primary,29,B_pilot,5,58.0,-16.0,0.07255239557579958,0.974310868351589
F05,PLD3_TMEM106B_mCherry_primary,32,B_pilot,6,511.0,-128.0,0.04719199100317966,0.7851485832219713
F05,PLD3_TMEM106B_mCherry_primary,36,B_pilot,7,1194.0,-1400.0,0.00954376312159338,0.2987605259011572
F05,PLD3_TMEM106B_mCherry_primary,39,B_pilot,8,-966.0,1553.0,0.01673014042141851,0.30407307878596895
F05,PLD3_TMEM106B_mCherry_primary,8,stable_subpixel,0,0.0,0.0,1.0,1.0
F05,PLD3_TMEM106B_mCherry_primary,12,stable_subpixel,1,-0.9,920.95,-0.006763873106746982,0.6786746865571914
F05,PLD3_TMEM106B_mCherry_primary,16,stable_subpixel,2,-1.0,0.05,0.020533010542376873,0.9996338972921031
F05,PLD3_TMEM106B_mCherry_primary,20,stable_subpixel,3,920.95,1.0,-0.0007811678828145051,0.6786510154370157
F05,PLD3_TMEM106B_mCherry_primary,25,stable_subpixel,4,-1.0,921.05,-0.004264585402862335,0.678616160090957
F05,PLD3_TMEM106B_mCherry_primary,29,stable_subpixel,5,0.0,-921.0,0.0010824422425946823,0.6788702928870293
F05,PLD3_TMEM106B_mCherry_primary,32,stable_subpixel,6,-0.1,0.0,0.0064851391642639965,0.9999651324965133
F05,PLD3_TMEM106B_mCherry_primary,36,stable_subpixel,7,919.0,922.0,-0.004098659595055513,0.4611013365390039
F05,PLD3_TMEM106B_mCherry_primary,39,stable_subpixel,8,-0.2,0.1,-0.00030070489109509674,0.9998953999210255
C05,unknown,8,A_cli,0,0.0,0.0,1.0,1.0
C05,unknown,12,A_cli,1,0.0,1149.8,0.009128153443228162,0.5990934449093446
C05,unknown,16,A_cli,2,257.2,0.0,0.00271074930227598,0.9103207810320781
C05,unknown,20,A_cli,3,-80.7,0.0,0.003544569834227365,0.9718619246861925
C05,unknown,25,A_cli,4,-294.1,0.0,-0.004741419920622739,0.8974546722454673
C05,unknown,29,A_cli,5,0.0,894.1,0.005155715464084702,0.6882496513249652
C05,unknown,32,A_cli,6,133.8,0.0,0.0014852261941446679,0.953347280334728
C05,unknown,36,A_cli,7,0.0,219.1,0.005446153682558438,0.92360529986053
C05,unknown,39,A_cli,8,-226.6,0.0,-0.006183892348614457,0.9209902370990237
C05,unknown,8,B_pilot,0,0.0,0.0,1.0,1.0
C05,unknown,12,B_pilot,1,-36.0,-132.0,0.17881323206136665,0.9420003151205336
C05,unknown,16,B_pilot,2,-23.0,-39.0,0.15969547342256124,0.9784911999673208
C05,unknown,20,B_pilot,3,-7.0,-152.0,0.11884951938445538,0.9446900244899229
C05,unknown,25,B_pilot,4,74.0,13.0,0.09671533380745677,0.9697822264238294
C05,unknown,29,B_pilot,5,56.0,-12.0,0.09183392206426853,0.9763717955451293
C05,unknown,32,B_pilot,6,507.0,-173.0,0.05968008315200392,0.7735643779579022
C05,unknown,36,B_pilot,7,-41.0,-186.0,0.06473941171641147,0.9217778925438981
C05,unknown,39,B_pilot,8,890.0,-135.0,0.03748155422501224,0.6572152389955824
C05,unknown,8,stable_subpixel,0,0.0,0.0,1.0,1.0
C05,unknown,12,stable_subpixel,1,-920.0,919.0,-0.00025376900241074065,0.4615752330822095
C05,unknown,16,stable_subpixel,2,921.05,0.95,0.005819194250238746,0.6786279950431735
C05,unknown,20,stable_subpixel,3,0.15,0.15,-0.0016658586079108357,0.999895400224961
C05,unknown,25,stable_subpixel,4,-0.9,918.85,0.0037138703049350357,0.6794066743550241
C05,unknown,29,stable_subpixel,5,0.15,1.0,0.006524078119958329,0.9995990419460444
C05,unknown,32,stable_subpixel,6,0.95,-920.1,-0.009178675239541094,0.6789591266055099
