experiment,well,method,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E1_baseline,0,A_cli,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,A_cli,1,0.626488209332539,2.240818880338871,-0.5,-2.1,0.18928609077279154,0.9911960734602099,0.9999999485298775,0.9864868164062499,True
E1_baseline,0,A_cli,2,-3.8509863207130355,-7.6674154184266055,3.9,7.8,0.14135420767786672,0.9936140753759007,0.9999999423475914,0.9398876953124999,True
E1_baseline,0,A_cli,3,1.2641919103895614,2.2258596744375545,-1.2,-2.1,0.14128431975625838,0.9937862431837235,0.9999999388335732,0.9828808593750001,True
E1_baseline,0,A_cli,4,5.84333466828129,2.45754438096653,-5.9,-2.4,0.08076085437644016,0.9919525673893903,0.9999999485042416,0.9571549479166666,True
E1_baseline,0,A_cli,5,-4.896339659591682,-7.630676111873781,4.9,7.7,0.0694204548878885,0.9931123221248016,0.9999999442932747,0.9353984917534722,True
E1_baseline,0,A_cli,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9989661266980928,0.9999999326612297,0.9638129340277778,True
E1_baseline,0,A_cli,7,-4.608097427163688,6.3688384221642735,4.7,-6.3,0.11482513339857428,0.9900980938289187,0.9999999526105668,0.9435115559895834,True
E1_baseline,0,A_cli,8,3.9051956174327476,0.4162346306673186,-4.0,-0.2,0.2361043973622466,0.9935515107521244,0.999999928112075,0.9781467013888889,True
E1_baseline,0,B_pilot,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,B_pilot,1,0.626488209332539,2.240818880338871,-1.0,-2.0,0.44441511101140646,0.9891131476188173,,0.9844292534722222,True
E1_baseline,0,B_pilot,2,-3.8509863207130355,-7.6674154184266055,4.0,8.0,0.36444146377023057,0.9912831965688284,,0.9383680555555556,True
E1_baseline,0,B_pilot,3,1.2641919103895614,2.2258596744375545,-1.0,-2.0,0.3475772691824426,0.9924494368711666,,0.9844292534722222,True
E1_baseline,0,B_pilot,4,5.84333466828129,2.45754438096653,-6.0,-2.0,0.48362266977115365,0.9868726811362626,,0.9586588541666666,True
E1_baseline,0,B_pilot,5,-4.896339659591682,-7.630676111873781,5.0,8.0,0.38359562108323986,0.9905283132786205,,0.9333767361111112,True
E1_baseline,0,B_pilot,6,-2.091347067622241,-4.950269162225048,2.0,5.0,0.10400693721565331,0.9982147994263655,,0.9638129340277778,True
E1_baseline,0,B_pilot,7,-4.608097427163688,6.3688384221642735,5.0,-6.0,0.5381722849240301,0.9851333998950037,,0.9435221354166666,True
E1_baseline,0,B_pilot,8,3.9051956174327476,0.4162346306673186,-4.0,0.0,0.42689476305140717,0.9895116477590805,,0.9791666666666666,True
E1_baseline,0,stable_subpixel,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E1_baseline,0,stable_subpixel,1,0.626488209332539,2.240818880338871,-0.800000011920929,-2.0999999046325684,0.22346438095688692,0.9881060049722478,0.9999999403953552,0.9849414066832267,True
E1_baseline,0,stable_subpixel,2,-3.8509863207130355,-7.6674154184266055,3.950000047683716,7.800000190734863,0.16547640308109493,0.9901871959327783,0.9999999403953552,0.9396378568616799,True
E1_baseline,0,stable_subpixel,3,1.2641919103895614,2.2258596744375545,-1.100000023841858,-2.0999999046325684,0.20688078031431054,0.9909604901489156,0.9999999403953552,0.9833959964647916,True
E1_baseline,0,stable_subpixel,4,5.84333466828129,2.45754438096653,-5.949999809265137,-2.3499999046325684,0.1514703492141278,0.9876633770446608,0.9999999403953552,0.9571501343835715,True
E1_baseline,0,stable_subpixel,5,-4.896339659591682,-7.630676111873781,4.949999809265137,7.800000190734863,0.17762335247689612,0.9899229659673812,0.9999999403953552,0.9346411132665041,True
E1_baseline,0,stable_subpixel,6,-2.091347067622241,-4.950269162225048,2.049999952316284,5.0,0.06467410741496686,0.9977609203354846,0.9999999403953552,0.9635592992870241,True
E1_baseline,0,stable_subpixel,7,-4.608097427163688,6.3688384221642735,4.75,-6.199999809265137,0.22055116726798188,0.9846324013098788,0.9999999403953552,0.9437676333473064,True
E1_baseline,0,stable_subpixel,8,3.9051956174327476,0.4162346306673186,-3.950000047683716,-0.30000001192092896,0.12457095795261604,0.9893824818909535,0.9999999403953552,0.9778967282068495,True
E2_sparse,0,A_cli,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E2_sparse,0,A_cli,1,1.601383453299153,5.99285343616225,0.0,0.0,6.203121897224172,0.9861355300809942,0.9999999995626018,1.0,True
E2_sparse,0,A_cli,2,6.22339049509293,-4.179328834577516,0.0,0.0,7.496491096636085,0.9857863665674131,0.9999999995737824,1.0,True
E2_sparse,0,A_cli,3,-4.781703047180978,6.173112703801097,0.0,0.0,7.808457241046424,0.985731862089405,0.999999999675479,1.0,True
E2_sparse,0,A_cli,4,6.720174139226508,-3.0833799879885913,0.0,0.0,7.393779318579725,0.985778214441951,0.9999999996573138,1.0,True
E2_sparse,0,A_cli,5,-5.732934935897356,-6.745960241171835,0.0,0.0,8.852938639497259,0.9855922869492286,0.9999999997045156,1.0,True
E2_sparse,0,A_cli,6,-5.371517593745528,-2.8321692931881746,0.0,0.0,6.072428193498525,0.9863249781364919,0.9999999997136634,1.0,True
E2_sparse,0,A_cli,7,-0.06341292793153563,-1.4772243119112183,0.0,0.0,1.4785847514195534,0.991621234235025,0.999999999478061,1.0,True
E2_sparse,0,A_cli,8,0.40776949714290467,4.193508052947216,0.0,0.0,4.213286811140838,0.9879627421001591,0.9999999995185578,1.0,True
E2_sparse,0,B_pilot,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E2_sparse,0,B_pilot,1,1.601383453299153,5.99285343616225,-2.0,-6.0,0.3986806048435207,0.7300824603811786,,0.9586588541666666,True
E2_sparse,0,B_pilot,2,6.22339049509293,-4.179328834577516,-6.0,4.0,0.2864649092101767,0.8459332989196625,,0.9485677083333334,True
E2_sparse,0,B_pilot,3,-4.781703047180978,6.173112703801097,5.0,-6.0,0.2786064748483008,0.7589784429329227,,0.9435221354166666,True
E2_sparse,0,B_pilot,4,6.720174139226508,-3.0833799879885913,-7.0,3.0,0.2919841344227516,0.8236615737780129,,0.948486328125,True
E2_sparse,0,B_pilot,5,-5.732934935897356,-6.745960241171835,6.0,7.0,0.3685918440899386,0.9494535550341313,,0.9334309895833334,True
E2_sparse,0,B_pilot,6,-5.371517593745528,-2.8321692931881746,5.0,3.0,0.4076671051377879,0.956008822696581,,0.958740234375,True
E2_sparse,0,B_pilot,7,-0.06341292793153563,-1.4772243119112183,0.0,1.0,0.48141898935125715,0.9904225951258476,,0.9947916666666666,True
E2_sparse,0,B_pilot,8,0.40776949714290467,4.193508052947216,0.0,-4.0,0.451354992611802,0.8437400548325638,,0.9791666666666666,True
E2_sparse,0,stable_subpixel,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E2_sparse,0,stable_subpixel,1,1.601383453299153,5.99285343616225,-2.0,-5.9,0.409288299259636,0.7306705584157535,0.9999999999832766,0.9591742621527778,True
E2_sparse,0,stable_subpixel,2,6.22339049509293,-4.179328834577516,-7.0,4.15,0.7771631126408916,0.8253272092208048,0.999999999986769,0.9427151150173612,True
E2_sparse,0,stable_subpixel,3,-4.781703047180978,6.173112703801097,4.7,-5.95,0.2376019076440529,0.7598567319459874,0.9999999999778101,0.9452898491753472,True
E2_sparse,0,stable_subpixel,4,6.720174139226508,-3.0833799879885913,-7.0,3.0,0.2919841344227516,0.8236615737780129,0.999999999980067,0.948486328125,True
E2_sparse,0,stable_subpixel,5,-5.732934935897356,-6.745960241171835,6.0,7.1,0.4434725462700644,0.9491075508584478,0.9999999999840818,0.9329264322916667,True
E2_sparse,0,stable_subpixel,6,-5.371517593745528,-2.8321692931881746,5.45,2.7,0.15371470376432303,0.9522883033077061,0.9999999999841707,0.9579512532552084,True
E2_sparse,0,stable_subpixel,7,-0.06341292793153563,-1.4772243119112183,-0.35,1.7,0.46961607317505133,0.9651805231917575,0.9999999999794421,0.9893390570746529,True
E2_sparse,0,stable_subpixel,8,0.40776949714290467,4.193508052947216,0.15,-4.1,0.5655533289699816,0.8060529235343957,0.9999999999840086,0.9778812662760417,True
E3_mcherry,0,A_cli,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,0,A_cli,1,0.0,0.0,4.8,-5.8,7.528612089887485,0.966533569673004,0.9999999397898185,0.9455468749999998,True
E3_mcherry,0,A_cli,2,0.0,0.0,-6.7,3.0,7.340980860893182,0.9695076924555285,0.9999999551992742,0.9500244140625002,True
E3_mcherry,0,A_cli,3,0.0,0.0,5.9,6.9,9.078546139112804,0.9387569021140023,0.9999999477048062,0.9344376627604167,True
E3_mcherry,0,A_cli,4,0.0,0.0,5.4,2.9,6.129437168288781,0.9731728411526136,0.9999999165581518,0.9571956380208333,True
