n_puncta,obs_frac_within,null_frac_within,null_frac_std,enrichment,obs_median_dist_um,null_median_dist_um,empirical_p,cell_id,n_z_slices,condition,well,fov,timepoint,plate,file_path
9,0.0,0.005,0.023033791601808757,-0.005,4.066000628518276,5.115062627398508,1.0,1,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
2,,,,,,,,2,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
5,0.2,0.13999999999999999,0.15491933384829668,0.060000000000000026,1.9916841003421029,2.448523896257357,0.5323383084577115,3,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
13,0.5384615384615384,0.10538461538461538,0.08295931846821103,0.433076923076923,0.4553692030771409,2.941650690345268,0.004975124378109453,4,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
6,0.3333333333333333,0.10916666666666666,0.12538551661885744,0.22416666666666665,0.7064443346228361,2.3316125651266963,0.13432835820895522,5,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
16,0.25,0.1484375,0.08737435175009883,0.1015625,1.70825656554132,2.7085985123492913,0.19900497512437812,6,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
8,0.5,0.146875,0.1277433339748106,0.353125,0.501588683287978,2.6461764268318237,0.029850746268656716,7,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
10,0.5,0.1195,0.09884204570930329,0.3805,0.47906587536314615,4.163892917139795,0.004975124378109453,8,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
7,0.2857142857142857,0.10857142857142855,0.12057684483433824,0.17714285714285716,1.7083333333333284,2.757398432600425,0.1791044776119403,9,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
5,0.2,0.09699999999999999,0.12958009106340374,0.10300000000000002,3.887488835282278,2.65326008613796,0.4079601990049751,10,13,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2
