condition,file,lamp1_p50,lamp1_mean,otsu_p50bg,otsu_fixed_bg
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,140.0,336.57467699050903,3779.521484375,3780.888671875
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,137.0,163.5382034778595,1289.830078125,1290.7265625
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,137.0,182.67664790153503,3118.587890625,2918.3515625
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F4.nd2,134.0,170.25395727157593,1875.439453125,1877.052734375
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F1.nd2,135.0,160.8155550956726,24652.734375,24147.333984375
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F2.nd2,135.0,226.18271350860596,3448.828125,3449.619140625
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F3.nd2,136.0,197.71943640708923,2339.037109375,2339.755859375
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F4.nd2,136.0,202.52586555480957,2702.373046875,2703.529296875
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F1.nd2,135.0,157.87110662460327,1585.44921875,1399.365234375
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F2.nd2,134.0,161.16102623939514,8089.453125,8091.23046875
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F3.nd2,135.0,204.10041213035583,4981.640625,4982.783203125
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F4.nd2,138.0,281.6599962711334,3381.615234375,3382.634765625
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F1.nd2,137.0,185.49506449699402,10857.08984375,10604.384765625
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F2.nd2,135.0,176.4763684272766,6253.30859375,6255.037109375
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F3.nd2,138.0,222.93893384933472,2682.298828125,2683.037109375
