cell_id,cell_area_px,n_lysosomes,lyso_area_frac,lyso_mean_size_um2,lamp1_mean,lamp1_integrated,perinuclear_index,tmem_manders_m1,tmem_pearson,qc_pass,qc_reason,condition,well,fov,timepoint,plate,file_path,n_z_slices
1,18592,1,0.00048407917383821,0.10497599999999999,86.80970001220703,1613966.0,4.9038801929811,6.195917308104981e-07,-0.02807598900940681,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
2,10578,0,0.0,0.0,43.71506881713867,462418.0,,0.0,-0.030478989913805675,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
3,8234,1,0.16966237551615254,16.294608,1874.8123779296875,15437205.0,8.698455507564079,0.0,0.11934391236690417,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
4,22060,10,0.08195829555757027,2.1088512,918.5858764648438,20264004.0,10.420811327805076,0.0019404852064326406,0.01101389092938579,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
5,21241,10,0.0630855421119533,1.562976,763.75,16222814.0,7.507426435017631,0.0,0.19657196078779982,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
6,24219,6,0.12448903753251579,5.86116,1197.525634765625,29002874.0,8.153051538251932,0.0,0.09110870758572696,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
7,12895,7,0.09398991857309034,2.0195382857142854,947.2303466796875,12214535.0,17.122400376918506,0.0,0.445098132140283,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
8,18732,6,0.09230194319880418,3.361176,927.1007690429688,17366452.0,6.409044028582782,0.0,0.14610598536625802,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
9,19870,13,0.04001006542526422,0.7132984615384614,579.4769897460938,11514208.0,12.891633582711622,0.0,0.15271032963148437,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
10,10643,5,0.08569012496476558,2.1275136,991.9661865234375,10557496.0,21.206731033852105,0.0,0.1449000403411187,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
11,11795,7,0.1383637134378974,2.7193782857142854,1576.9271240234375,18599856.0,23.163285046080897,0.0,0.5569947732222693,True,,KO,C8,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,13
