condition,file,p99,p99.9,p99.99,otsu_raw,n_cells
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F1.nd2,184.0,476.0,2389.0,2104.7265625,19
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2,151.0,259.0,632.0,109.94140625,25
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F3.nd2,170.0,573.2670288085938,4351.66748046875,2799.6796875,21
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F4.nd2,144.0,211.5780029296875,319.0,115.25,26
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F1.nd2,190.0,430.4429931640625,1614.075927734375,855.369140625,18
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F2.nd2,219.0,453.0,2310.6083984375,7378.076171875,26
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F3.nd2,255.0,551.0,1750.0,2009.439453125,20
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D8_F4.nd2,196.0,354.0,1081.6380615234375,1012.99609375,20
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F1.nd2,153.0,253.0,773.2249145507812,702.431640625,21
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F2.nd2,159.0,329.0,1057.523193359375,792.392578125,27
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F3.nd2,216.0,410.0,3217.295654296875,7214.537109375,21
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E8_F4.nd2,222.0,385.0,896.0,2985.005859375,22
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F1.nd2,207.0,596.0,5106.61474609375,3802.302734375,21
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F2.nd2,235.0,528.0,1687.1761474609375,882.373046875,21
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F3.nd2,277.0,601.0,2367.44580078125,1261.26953125,30
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_F8_F4.nd2,159.0,321.0,2418.16552734375,4889.046875,26
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_G8_F1.nd2,214.0,439.0,2505.353271484375,4030.69140625,19
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_G8_F2.nd2,230.0,480.0,1777.0,7437.015625,36
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_G8_F3.nd2,291.0,970.0,4170.58203125,5973.703125,29
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_G8_F4.nd2,236.0,506.0710144042969,2185.485107421875,4725.302734375,19
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_H8_F1.nd2,203.0,499.5169982910156,1545.7237548828125,639.083984375,13
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_H8_F2.nd2,170.0,394.0,1272.0,951.3203125,14
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_H8_F3.nd2,238.0,751.0,3396.52001953125,2486.33984375,23
KO,TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_H8_F4.nd2,191.0,431.0,1361.1121826171875,631.884765625,16
Control,PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F1.nd2,163.0,302.0,900.7705078125,1248.15234375,18
Control,PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2,160.0,270.0,420.0,120.2578125,16
