image_id,channel_index,channel_name,fluorophore,excitation_nm,emission_nm,exposure_ms,metadata_source
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2::0,0,488nm,,488.0,515.0,300.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2::0,1,640nm,,640.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2::0,2,561nm,,561.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2::0,3,405nm,,405.0,450.0,500.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2::0,0,488nm,,488.0,515.0,300.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2::0,1,640nm,,640.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2::0,2,561nm,,561.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F1.nd2::0,3,405nm,,405.0,450.0,500.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2::0,0,488nm,,488.0,515.0,300.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2::0,1,640nm,,640.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2::0,2,561nm,,561.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2::0,3,405nm,,405.0,450.0,500.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2::0,0,488nm,,488.0,515.0,300.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2::0,1,640nm,,640.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2::0,2,561nm,,561.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F3.nd2::0,3,405nm,,405.0,450.0,500.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2::0,0,488nm,,488.0,515.0,300.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2::0,1,640nm,,640.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2::0,2,561nm,,561.0,515.0,900.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_H20_F2.nd2::0,3,405nm,,405.0,450.0,500.0,nd2 embedded; excitation recovered from description ExW
Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d28_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2::0,0,488nm,,488.0,515.0,300.0,nd2 embedded; excitation recovered from description ExW
