image_id,relative_path,file_name,file_format,file_size_bytes,modified_time,series_index,raw_or_derived,reader,reader_version,dimension_order,size_t,size_c,size_z,size_y,size_x,dtype,pixel_size_x_um,pixel_size_y_um,z_spacing_um,time_interval_s,objective_magnification,objective_na,objective_name,microscope_modality,stage_x_um,stage_y_um,acquisition_datetime,plate_id,well_id,field_id,sample_id,parse_status,parse_error,raw_metadata_json,fingerprint_type,fingerprint,_excitation_cleared
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F4.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F4.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F4.nd2,nd2,269127680,2026-08-12T18:38:56+00:00,0,raw,nd2,0.11.3,ZCYX,,4,8,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32785.2,-21941.9,,,D20,F4,D20,ok,,"{""sizes"": ""{'Z': 8, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,b6f102457a7fdf0c80128604cf088b8617d7f7e757b33d84ba4e3f18e0953497,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F4.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F4.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F4.nd2,nd2,504037376,2026-08-12T18:53:40+00:00,0,raw,nd2,0.11.3,ZCYX,,4,15,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33983.4,-15057.6,,,E20,F4,E20,ok,,"{""sizes"": ""{'Z': 15, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,4563622a7fa680aec56c3b377234f99830961e78dfe2600cae63d40f10820313,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F3.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F3.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F3.nd2,nd2,269127680,2026-08-12T18:37:26+00:00,0,raw,nd2,0.11.3,ZCYX,,4,8,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32721.8,-21710.1,,,D20,F3,D20,ok,,"{""sizes"": ""{'Z': 8, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,8048f3fad4d0ead5a4f0f1a31c1a781b5e13879b5a8b679397ac42d1bd4030f7,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F3.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F3.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F3.nd2,nd2,470478848,2026-08-12T18:51:06+00:00,0,raw,nd2,0.11.3,ZCYX,,4,14,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33417.5,-14883.0,,,E20,F3,E20,ok,,"{""sizes"": ""{'Z': 14, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,adfbf46da099e494616e9d2686615439ee5f4feaed855042695da20c49290e95,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F2.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F2.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F2.nd2,nd2,269127680,2026-08-12T18:48:16+00:00,0,raw,nd2,0.11.3,ZCYX,,4,8,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33331.1,-15139.3,,,E20,F2,E20,ok,,"{""sizes"": ""{'Z': 8, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,bf0426b482df44289ac90afb297d9df105555615911412ad4098e9021dc07db2,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F2.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F2.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F2.nd2,nd2,302686208,2026-08-12T18:31:24+00:00,0,raw,nd2,0.11.3,ZCYX,,4,9,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31967.2,-20933.6,,,D20,F2,D20,ok,,"{""sizes"": ""{'Z': 9, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,90311a0fe0701c9cef785763ae6234389a6463285dd80565428b752332afb7f5,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F1.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F1.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_D20_F1.nd2,nd2,302686208,2026-08-12T16:42:14+00:00,0,raw,nd2,0.11.3,ZCYX,,4,9,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-32013.6,-20595.2,,,D20,F1,D20,ok,,"{""sizes"": ""{'Z': 9, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,93d6589312444ad568ad64849d4d126060f7d4d3aca0835808b8c1ef2fbb27c1,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F1.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F1.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_E20_F1.nd2,nd2,202010624,2026-08-12T18:43:20+00:00,0,raw,nd2,0.11.3,ZCYX,,4,6,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-33832.0,-16617.3,,,E20,F1,E20,ok,,"{""sizes"": ""{'Z': 6, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,69d86a2c8942d572249f00fb40765db65b62615298043589a558b9908fbc646f,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F3.nd2,nd2,269139968,2026-08-21T18:02:26+00:00,0,raw,nd2,0.11.3,ZCYX,,4,8,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31823.7,-25172.1,,,C20,F3,C20,ok,,"{""sizes"": ""{'Z': 8, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,07fdb078de2822616963dbb761eb071fbcb9f7b66de2da84651fc3054f5aabd0,True
d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2::0,d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2,PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F2.nd2,nd2,336257024,2026-08-21T17:45:46+00:00,0,raw,nd2,0.11.3,ZCYX,,4,10,2048,2048,uint16,0.108333333333333,0.108333333333333,0.3,,60.0,1.27,Plan Apo IR 60x WI DIC N2,,-31823.8,-26142.1,,,C20,F2,C20,ok,,"{""sizes"": ""{'Z': 10, 'C': 4, 'Y': 2048, 'X': 2048}""}",fast,9fd75dd0eda89a3123ccb026c77db18c6b8495c1d1f4d4abb7745d0afdaf43ba,True
